Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Cellulosimicrobium,Saccharomycetes,Pichiaceae,Brettanomyces,Brettanomyces,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Dothideomycetes,Pleosporaceae,Exserohilum,Exserohilum,Pleosporales,Ascomycota,Eukaryota
Cellulosimicrobium,Saccharomycetes,Saccharomycodaceae,Hanseniaspora,Hanseniaspora,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Saccharomycetes,Lipomycetaceae,Lipomyces,Lipomyces,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Demospongiae,Metschnikowiidae,Metschnikowia,Metschnikowia,Spongillida,Porifera,Eukaryota
Cellulosimicrobium,Saccharomycetes,Pachysolen,Pachysolen,NA,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Saccharomycetes,Pichiaceae,Pichia,Pichia,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Leotiomycetes,Pseudogymnoascus,Pseudogymnoascus,NA,Pseudeurotiaceae,Ascomycota,Eukaryota
Cellulosimicrobium,Saccharomycetes,Saccharomycetaceae,Saccharomyces,Saccharomyces,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Saitoella,NA,Saitoella,NA,NA,Ascomycota,Eukaryota
Cellulosimicrobium,Saccharomycetes,Trigonopsidaceae,Tortispora,Tortispora,Saccharomycetales,Ascomycota,Eukaryota
Cellulosimicrobium,Saccharomycetes,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces,Saccharomycetales,Ascomycota,Eukaryota
Chelatococcus,Mortierellomycetes,Mortierellaceae,Mortierella,Mortierella,Mortierellales,Mucoromycota,Eukaryota
Chromohalobacter,Saccharomycetes,Ascoideaceae,Ascoidea,Ascoidea,Saccharomycetales,Ascomycota,Eukaryota
Chryseobacterium,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Chryseobacterium,Mucoromycetes,Phycomycetaceae,Phycomyces,Phycomyces,Mucorales,Mucoromycota,Eukaryota
Chryseobacterium,Sordariomycetes,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella,Glomerellales,Ascomycota,Eukaryota
Chryseobacterium,Agaricomycetes,Thelephoraceae,Thelephora,Thelephora,Thelephorales,Basidiomycota,Eukaryota
Citrobacter,Lecanoromycetes,Lobariaceae,Lobaria,Lobaria,Peltigerales,Ascomycota,Eukaryota
