Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Lepista,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Marasmius,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Panellus,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Pleurotus,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Polyporus,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Tolypocladium,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Trametes,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinicoccus,Bacilli,Staphylococcaceae,Acremonium,Salinicoccus,Bacillales,Firmicutes,Bacteria
Salinicoccus,Bacilli,Staphylococcaceae,Alternaria,Salinicoccus,Bacillales,Firmicutes,Bacteria
Salinicoccus,Bacilli,Staphylococcaceae,Phaeoacremonium,Salinicoccus,Bacillales,Firmicutes,Bacteria
Salinimicrobium,Flavobacteriia,Flavobacteriaceae,Pleurotus,Salinimicrobium,Flavobacteriales,Bacteroidota,Bacteria
Salinimicrobium,Flavobacteriia,Flavobacteriaceae,Trametes,Salinimicrobium,Flavobacteriales,Bacteroidota,Bacteria
Salipaludibacillus,Bacilli,Bacillaceae,Botrytis,Salipaludibacillus,Bacillales,Firmicutes,Bacteria
Salipaludibacillus,Bacilli,Bacillaceae,Fusarium,Salipaludibacillus,Bacillales,Firmicutes,Bacteria
Salipaludibacillus,Bacilli,Bacillaceae,Stropharia,Salipaludibacillus,Bacillales,Firmicutes,Bacteria
Salipaludibacillus,Bacilli,Bacillaceae,Tolypocladium,Salipaludibacillus,Bacillales,Firmicutes,Bacteria
Sandaracinobacter,Alphaproteobacteria,Sphingosinicellaceae,Omphalotus,Sandaracinobacter,Sphingomonadales,Proteobacteria,Bacteria
Sandaracinus,Deltaproteobacteria,Sandaracinaceae,Beauveria,Sandaracinus,Myxococcales,Proteobacteria,Bacteria
Sandaracinus,Deltaproteobacteria,Sandaracinaceae,Penicillium,Sandaracinus,Myxococcales,Proteobacteria,Bacteria
Sandaracinus,Deltaproteobacteria,Sandaracinaceae,Phaeoacremonium,Sandaracinus,Myxococcales,Proteobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Alternaria,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Basidiobolus,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Coprinellus,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Fomitiporia,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Gyrodon,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Kuehneromyces,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sanguibacter,Actinomycetia,Sanguibacteraceae,Trametes,Sanguibacter,Micrococcales,Actinobacteria,Bacteria
Sarcina,Clostridia,Clostridiaceae,Basidiobolus,Sarcina,Eubacteriales,Firmicutes,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Aspergillus,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Botrytis,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Clonostachys,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Conidiobolus,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Coniella,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Ganoderma,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Hebeloma,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Morchella,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Pleurotus,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Psathyrella,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Trichoderma,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Schlesneria,Planctomycetia,Planctomycetaceae,Gaeumannomyces,Schlesneria,Planctomycetales,Planctomycetota,Bacteria
Schlesneria,Planctomycetia,Planctomycetaceae,Rhizopogon,Schlesneria,Planctomycetales,Planctomycetota,Bacteria
Sediminibacterium,Chitinophagia,Chitinophagaceae,Clonostachys,Sediminibacterium,Chitinophagales,Bacteroidota,Bacteria
Sediminibacterium,Chitinophagia,Chitinophagaceae,Coniochaeta,Sediminibacterium,Chitinophagales,Bacteroidota,Bacteria
